symbol,vol30d,rank,included
BTCUSDT,32328189487.17857361,1,0
ETHUSDT,13408591746.38309669,2,0
SOLUSDT,4624238824.70748043,3,0
ZECUSDT,2425460158.65388060,4,0
REUSDT,2366348277.16224003,5,0
XRPUSDT,2273794345.25620985,6,0
BNBUSDT,1789746204.41526961,7,0
RLUSDUSDT,1054196458.30479991,8,0
DOGEUSDT,952011787.29046011,9,0
TRXUSDT,868705822.67519987,10,0
XLMUSDT,809512261.16540003,11,0
NEARUSDT,799070687.73720002,12,0
WLDUSDT,765127796.82873011,13,0
XPLUSDT,738753579.08223510,14,0
ADAUSDT,677552396.51113975,15,0
SPCXBUSDT,595149626.70184004,16,0
OPNUSDT,584840831.20395994,17,0
KITEUSDT,580068572.05710995,18,0
AAVEUSDT,579394277.32866991,19,0
SUIUSDT,548165830.17413998,20,0
GRAMUSDT,544886745.54377007,21,0
SYNUSDT,507016892.42870104,22,0
MEGAUSDT,491887636.38893408,23,0
PEPEUSDT,491038577.17394674,24,0
BANKUSDT,485824739.35859001,25,0
DEXEUSDT,476592186.78445005,26,0
CELOUSDT,438707177.91044295,27,0
UUSDT,432454761.30640000,28,0
TAOUSDT,423380021.03095996,29,0
AIGENSYNUSDT,416385645.40755010,30,0
ENAUSDT,411963934.34976107,31,0
SENTUSDT,406060755.47278994,32,0
XAUTUSDT,402765506.60098803,33,0
LTCUSDT,400642754.65405005,34,0
SNDKBUSDT,385095111.20257103,35,0
UNIUSDT,374550740.10179996,36,0
LINKUSDT,362421583.11932999,37,0
MUBUSDT,352166961.86981994,38,0
AVAXUSDT,349362133.98662007,39,0
AEROUSDT,312192740.62203002,40,0
ONDOUSDT,294079728.75516003,41,0
HYPERUSDT,290330799.00993001,42,0
PUMPUSDT,268876778.93696195,43,0
TLMUSDT,266849666.70783702,44,0
ALLOUSDT,246442087.20009002,45,0
SXTUSDT,216065431.80451003,46,0
VANRYUSDT,214539002.51223490,47,0
TRUMPUSDT,210535071.02173197,48,0
币安人生USDT,209581450.16588002,49,0
BCHUSDT,201508391.17899999,50,0
FETUSDT,193147875.08787000,51,1
HBARUSDT,182789436.22793999,52,1
HMSTRUSDT,179941117.96252126,53,1
ARBUSDT,176676789.25757998,54,1
TREEUSDT,174163321.45765996,55,1
