symbol,vol30d,rank,included
BTCUSDT,28954826367.07690430,1,0
ETHUSDT,12996994495.81030846,2,0
SOLUSDT,3586430134.86434984,3,0
REUSDT,2254957804.77755928,4,0
ZECUSDT,2113104545.83668995,5,0
XRPUSDT,1915988947.55780005,6,0
BNBUSDT,1585431422.61318946,7,0
DEXEUSDT,1062604612.74622011,8,0
BANKUSDT,1059232209.14523005,9,0
RLUSDUSDT,1033701953.81150019,10,0
DOGEUSDT,919013692.12185001,11,0
AEROUSDT,905918948.89396000,12,0
TRXUSDT,748896129.28330970,13,0
XLMUSDT,713909293.37699986,14,0
SNDKBUSDT,706466374.70083213,15,0
OPNUSDT,673570482.74610019,16,0
NEARUSDT,626402867.97920001,17,0
ADAUSDT,605679783.39628005,18,0
GRAMUSDT,594560868.61434007,19,0
KITEUSDT,582103624.40215003,20,0
WLDUSDT,564830556.38115990,21,0
PEPEUSDT,494561806.20799690,22,0
SUIUSDT,462888084.21545994,23,0
SPCXBUSDT,459968936.12089002,24,0
AAVEUSDT,458850995.47670001,25,0
MUBUSDT,441514927.02232993,26,0
UUSDT,418902773.38510001,27,0
UNIUSDT,417649326.54027998,28,0
SENTUSDT,410620649.14193010,29,0
XAUTUSDT,406859971.46654701,30,0
LTCUSDT,379216563.30511993,31,0
AIGENSYNUSDT,362117145.01894015,32,0
TAOUSDT,348349230.87168002,33,0
ONDOUSDT,338370795.73130006,34,0
ENAUSDT,331627867.12991899,35,0
LINKUSDT,318154416.11097997,36,0
VANAUSDT,301978306.74554998,37,0
AVAXUSDT,299453133.75840008,38,0
SYNUSDT,270993926.21883303,39,0
PUMPUSDT,269593292.06716102,40,0
ALLOUSDT,268905172.06100005,41,0
TLMUSDT,264624526.13234901,42,0
SKHYBUSDT,239727079.21803999,43,0
VANRYUSDT,239269132.74270391,44,0
XPLUSDT,237184585.49810100,45,0
ZAMAUSDT,234297135.39468002,46,0
KAITOUSDT,227986661.95854002,47,0
SXTUSDT,221024460.48132905,48,0
TRUMPUSDT,190476923.49603406,49,0
FETUSDT,185470861.06432995,50,0
SOXLBUSDT,184059084.89943996,51,1
BCHUSDT,182189127.02939999,52,1
TREEUSDT,175263772.14758998,53,1
RIFUSDT,172042531.16979998,54,1
HMSTRUSDT,171031526.48706517,55,1
ARBUSDT,168032330.12937000,56,1
CRCLBUSDT,164338433.91999999,57,1
HBARUSDT,164046110.95420003,58,1
SHIBUSDT,163230764.49021551,59,1
币安人生USDT,147368407.37545997,60,1
EULUSDT,141029318.80326998,61,1
DOTUSDT,139523158.48086995,62,1
TOWNSUSDT,139429070.46368998,63,1
FILUSDT,138857395.61632296,64,1
PENGUUSDT,136832832.81167200,65,1
INJUSDT,135454584.10209000,66,1
WLFIUSDT,133614902.12486002,67,1
EPICUSDT,132019612.03206001,68,1
HOMEUSDT,115993098.08667000,69,1
BONKUSDT,113535004.28686389,70,1
ASTERUSDT,109289225.20589000,71,1
VIRTUALUSDT,108255757.07950003,72,1
JTOUSDT,106858916.05833000,73,1
DASHUSDT,106104182.07478000,74,1
ICPUSDT,101939344.53752001,75,1
LDOUSDT,101817696.08623502,76,1
COTIUSDT,99741919.75147000,77,1
KORUBUSDT,94612571.99970001,78,1
ACEUSDT,93424140.48207001,79,1
LAUSDT,92581061.59128001,80,1
TIAUSDT,92563935.02548200,81,1
APTUSDT,89528270.50369000,82,1
ESPUSDT,89452234.41613001,83,1
ETHFIUSDT,89148765.47201000,84,1
ZBTUSDT,87963224.03144000,85,1
EIGENUSDT,83298247.32322098,86,1
JSTUSDT,82893004.60877502,87,1
DODOUSDT,82373445.23076200,88,1
HEIUSDT,80274272.87153000,89,1
POLUSDT,77254159.04795299,90,1
ERAUSDT,76536364.11290000,91,1
MEGAUSDT,74795461.02187800,92,1
EWYBUSDT,74576237.32189000,93,1
ORDIUSDT,73101314.25065999,94,1
MORPHOUSDT,72171211.28839000,95,1
XECUSDT,71655489.97250238,96,1
DRAMBUSDT,71588472.15770000,97,1
NIGHTUSDT,69077557.20709999,98,1
OPUSDT,67537559.51254798,99,1
ZROUSDT,66505505.24203001,100,1
GIGGLEUSDT,65915688.13205999,101,1
PYTHUSDT,65694697.85843401,102,1
PENDLEUSDT,65642288.87320000,103,1
WBTCUSDT,65074192.43559140,104,1
HEMIUSDT,64165112.29072900,105,1
MIRAUSDT,63447925.83530000,106,1
BLURUSDT,59589311.75477399,107,1
SKLUSDT,59134154.75843000,108,1
OPGUSDT,59004917.91387001,109,1
RENDERUSDT,57728838.73884999,110,1
SEIUSDT,56900406.21949602,111,1
LUMIAUSDT,54365736.80570701,112,1
CRVUSDT,53992189.74614999,113,1
FFUSDT,53154383.59528802,114,1
PARTIUSDT,53101838.54848001,115,1
THEUSDT,52356753.77770001,116,1
QQQBUSDT,52185817.44876999,117,1
MMTUSDT,51706597.15233999,118,1
GALAUSDT,51341705.36193000,119,1
TUSDT,51171082.82489599,120,1
CHZUSDT,50841593.03733999,121,1
CHIPUSDT,50453760.98996000,122,1
OGNUSDT,48897155.03298999,123,1
PROMUSDT,48409687.56645001,124,1
ETCUSDT,47775593.61960001,125,1
ATMUSDT,46781455.08194000,126,1
NOMUSDT,46272452.02003000,127,1
DYDXUSDT,45376164.28359918,128,1
PYRUSDT,44381179.57561000,129,1
ALGOUSDT,44262421.89040001,130,1
BELUSDT,43828363.51486998,131,1
CAKEUSDT,42752412.24295000,132,1
ALICEUSDT,41857231.07054599,133,1
LUNCUSDT,41711774.00148165,134,1
ATOMUSDT,41584987.51173001,135,1
HOLOUSDT,41281628.12254000,136,1
SPELLUSDT,41137137.99233300,137,1
WIFUSDT,40166939.82967401,138,1
MANTRAUSDT,39515973.75663000,139,1
0GUSDT,38889845.73568001,140,1
SNXXBUSDT,38410518.63389999,141,1
