symbol,vol30d,rank,included
BTCUSDT,28683353015.71559143,1,0
ETHUSDT,12245457377.04559326,2,0
SOLUSDT,3143401177.16795015,3,0
ZECUSDT,1835693787.50043035,4,0
XRPUSDT,1729618437.67201018,5,0
BNBUSDT,1560989168.05533051,6,0
BANKUSDT,1215736448.72147989,7,0
DEXEUSDT,1108996340.36815023,8,0
SNDKBUSDT,1012612635.09064198,9,0
REUSDT,932073972.96428001,10,0
RLUSDUSDT,927114780.51339996,11,0
AEROUSDT,915816136.64348996,12,0
DOGEUSDT,824579572.86313999,13,0
TRXUSDT,742097827.04442000,14,0
OPNUSDT,670519122.36734021,15,0
SPCXBUSDT,625647734.29033995,16,0
ADAUSDT,608524448.31949008,17,0
KITEUSDT,580577168.02983999,18,0
NEARUSDT,524458243.64079994,19,0
XAUTUSDT,489442168.55181003,20,0
UNIUSDT,477751795.34417993,21,0
MUBUSDT,469062574.04052007,22,0
UUSDT,464198197.33730012,23,0
PEPEUSDT,455365799.92950916,24,0
WLDUSDT,448566775.30578995,25,0
XLMUSDT,448433542.42839998,26,0
EULUSDT,440909234.92930996,27,0
AAVEUSDT,440098968.41485006,28,0
SUIUSDT,406601837.82382989,29,0
GRAMUSDT,393155909.50192004,30,0
MIRAUSDT,384632122.46744996,31,0
SENTUSDT,378054891.71413994,32,0
ONDOUSDT,360857614.22568017,33,0
LTCUSDT,352150900.67867005,34,0
SKHYBUSDT,333712534.32525003,35,0
ENAUSDT,329183017.16141397,36,0
ERAUSDT,327881155.64821005,37,0
TAOUSDT,317592637.21679997,38,0
VANAUSDT,307306560.63796002,39,0
LINKUSDT,306453428.07783997,40,0
AVAXUSDT,305247146.19920003,41,0
PUMPUSDT,295989840.91288203,42,0
SOXLBUSDT,289930812.22791004,43,0
ZAMAUSDT,267666098.77939004,44,0
KAITOUSDT,263023850.71873999,45,0
HEIUSDT,231170694.95862001,46,0
SYNUSDT,227400538.89306396,47,0
ALLOUSDT,226364595.02817005,48,0
HOMEUSDT,224359263.85181996,49,0
SXTUSDT,215063316.86859709,50,0
CRCLBUSDT,206105165.36690000,51,1
GIGGLEUSDT,192069206.92583001,52,1
SHIBUSDT,179155269.52913380,53,1
TREEUSDT,175261193.43380997,54,1
FETUSDT,169823318.57350996,55,1
AIGENSYNUSDT,168785074.25037000,56,1
TRUMPUSDT,167556929.46421403,57,1
ARBUSDT,167361495.84621999,58,1
XPLUSDT,167044760.74365997,59,1
COTIUSDT,160645828.63364998,60,1
KORUBUSDT,154402401.64519998,61,1
VANRYUSDT,151052331.64875898,62,1
FILUSDT,150575070.90823901,63,1
BCHUSDT,149923045.33359995,64,1
RIFUSDT,146956236.53770003,65,1
HBARUSDT,143372736.78332999,66,1
TOWNSUSDT,142855085.71568000,67,1
DOTUSDT,133739186.51867001,68,1
PENGUUSDT,130668219.49917401,69,1
EPICUSDT,127509331.14207999,70,1
INJUSDT,126979988.94300003,71,1
币安人生USDT,125417924.53064997,72,1
ACEUSDT,123762808.79332002,73,1
TLMUSDT,117345568.25430101,74,1
WLFIUSDT,116854053.89782004,75,1
MMTUSDT,114500687.79981999,76,1
LDOUSDT,113635831.63200198,77,1
ZBTUSDT,111706191.87793002,78,1
DODOUSDT,111232944.48679599,79,1
VIRTUALUSDT,107072499.36296003,80,1
ESPUSDT,101393724.72367001,81,1
SNXXBUSDT,98901332.36439998,82,1
DASHUSDT,98015070.38224000,83,1
BICOUSDT,96516593.68156479,84,1
EWYBUSDT,95988799.71026000,85,1
ASTERUSDT,94267543.03050001,86,1
LAUSDT,91818243.78196001,87,1
BONKUSDT,90133213.39609160,88,1
APTUSDT,89792701.36342999,89,1
