symbol,vol30d,rank,included
BANANAS31USDT,34350405.93838499,155,1
SENTUSDT,34055287.66934001,156,1
HYPERUSDT,33847940.60339000,157,1
EDENUSDT,33598611.97104800,158,1
NEIROUSDT,33458933.85343574,159,1
RUNEUSDT,33340263.49920001,160,1
AIGENSYNUSDT,33178935.35856000,161,1
BFUSDUSDT,32475250.85870000,162,1
ALICEUSDT,32391123.40087700,163,1
CHIPUSDT,31891167.22485001,164,1
SPYBUSDT,31787499.70427000,165,1
WIFUSDT,31602408.47536100,166,1
PEOPLEUSDT,31565625.62183900,167,1
OPENUSDT,31488303.78607000,168,1
PYRUSDT,30132131.53950100,169,1
1000SATSUSDT,29996993.38234865,170,1
FLOKIUSDT,29374182.20894816,171,1
MITOUSDT,29295290.08402900,172,1
KGSTUSDT,28825252.55170500,173,1
SPKUSDT,28486072.10243600,174,1
ZILUSDT,28481338.60382930,175,1
TUSDT,28157365.47550499,176,1
SAHARAUSDT,27881205.95285000,177,1
SKLUSDT,27686308.83520000,178,1
ACHUSDT,27350180.85628000,179,1
COOKIEUSDT,27300457.97736001,180,1
ZENUSDT,26577409.46424000,181,1
AXSUSDT,26206327.08918000,182,1
RADUSDT,26027697.82190000,183,1
NOMUSDT,25711138.00062000,184,1
METUSDT,25561922.64800001,185,1
AMDBUSDT,25534042.93286999,186,1
BERAUSDT,25283851.47885380,187,1
APEUSDT,25157270.25563499,188,1
PORTALUSDT,25155107.41265400,189,1
SKYUSDT,25109690.90122000,190,1
SXTUSDT,24812169.21489600,191,1
CFGUSDT,24670226.67395000,192,1
AAOIBUSDT,24330690.51132000,193,1
RESOLVUSDT,24324241.88093201,194,1
THEUSDT,24186941.71352000,195,1
OPGUSDT,24147125.59974000,196,1
CTSIUSDT,23955413.65918000,197,1
PHAUSDT,23441180.34350000,198,1
ZKUSDT,22943679.83584399,199,1
BARDUSDT,22890140.69670000,200,1
STOUSDT,22872653.51472000,201,1
GUNUSDT,22775401.26657000,202,1
OGNUSDT,22449944.74668000,203,1
XAIUSDT,22394690.52704700,204,1
SNXUSDT,22187164.39510000,205,1
PNUTUSDT,21984145.52616000,206,1
FIDAUSDT,21647674.48275300,207,1
FORMUSDT,21626544.20126000,208,1
ARUSDT,21547131.49337000,209,1
REZUSDT,20988961.75800820,210,1
1000CATUSDT,20905497.74003800,211,1
AVNTUSDT,20790023.01216000,212,1
SOXSBUSDT,20710559.86140000,213,1
CVXUSDT,20691637.04223900,214,1
GUSDT,20536648.61633999,215,1
ACXUSDT,20238680.80632000,216,1
LUNAUSDT,20179027.80204300,217,1
LPTUSDT,20161908.70390000,218,1
IOUSDT,19687538.53112900,219,1
GLMRUSDT,19639167.94973050,220,1
TRBUSDT,19618953.97194000,221,1
ENSUSDT,19470327.57030000,222,1
GENIUSUSDT,19458703.10054000,223,1
PORTOUSDT,19180867.76908000,224,1
SUSDT,18964287.02361500,225,1
LISTAUSDT,18805694.96230000,226,1
STORJUSDT,18751429.25650000,227,1
TNSRUSDT,18716846.71908000,228,1
STXUSDT,18526426.55875999,229,1
PIXELUSDT,18507332.51643700,230,1
MRVLBUSDT,18344641.45339000,231,1
KATUSDT,18191603.73960000,232,1
MOVRUSDT,18139656.38514400,233,1
IOTXUSDT,18090975.05364000,234,1
SOLVUSDT,18005917.40590000,235,1
IDUSDT,17889861.95570000,236,1
RAREUSDT,17878492.03385400,237,1
DYDXUSDT,17823912.27683550,238,1
EDUUSDT,17624395.60150000,239,1
LITEBUSDT,17410640.98326000,240,1
SYRUPUSDT,17285811.46215000,241,1
QIUSDT,17235215.63804600,242,1
BBUSDT,17108704.79599500,243,1
MAVUSDT,16690364.44392000,244,1
YBUSDT,16649382.28140000,245,1
C98USDT,16635545.60601300,246,1
WBETHUSDT,16572595.38835900,247,1
JASMYUSDT,16525438.95004720,248,1
SANDUSDT,16460730.61639000,249,1
DGBUSDT,16443613.09583300,250,1
FLOWUSDT,16035124.61389760,251,1
YGGUSDT,15977379.69846300,252,1
STGUSDT,15792489.10861000,253,1
MEUSDT,15686475.54116050,254,1
GPSUSDT,15684005.03031200,255,1
CATIUSDT,15677543.58034700,256,1
QNTUSDT,15663672.90959000,257,1
AEVOUSDT,15621981.75270551,258,1
ROSEUSDT,15607672.01216900,259,1
ZKCUSDT,15498707.65732000,260,1
TWTUSDT,15346818.63730000,261,1
GRTUSDT,15183681.46945000,262,1
SAPIENUSDT,14914931.47126000,263,1
ADXUSDT,14909064.61970000,264,1
WUSDT,14906314.68785800,265,1
1INCHUSDT,14613936.22012000,266,1
VETUSDT,14581088.69894790,267,1
MEMEUSDT,14440802.44830200,268,1
BELUSDT,14383262.42608000,269,1
SCRUSDT,14146393.20164800,270,1
WDCBUSDT,13854449.20960000,271,1
BARUSDT,13574461.85395000,272,1
SHELLUSDT,13542569.08836000,273,1
KERNELUSDT,13373218.45166000,274,1
COINBUSDT,13174498.80594000,275,1
KAIAUSDT,13049350.62892000,276,1
SPELLUSDT,12962973.86844760,277,1
ATUSDT,12894502.49982000,278,1
1000CHEEMSUSDT,12856858.66370500,279,1
BLURUSDT,12839707.60643200,280,1
AMPUSDT,12755088.56184500,281,1
KMNOUSDT,12742480.73100000,282,1
NEXOUSDT,12740797.64341000,283,1
MOVEUSDT,12589502.31219000,284,1
AIXBTUSDT,12587908.39922100,285,1
API3USDT,12582591.20772400,286,1
1MBABYDOGEUSDT,12562636.60074610,287,1
DYMUSDT,12504552.81940900,288,1
ZKPUSDT,12499532.72805000,289,1
IOTAUSDT,12477484.17190000,290,1
RSRUSDT,12406962.83961510,291,1
AUDIOUSDT,12213442.75044500,292,1
CUSDT,12155854.53049000,293,1
LINEAUSDT,12069866.32586700,294,1
ALPINEUSDT,12033883.43812000,295,1
AAPLBUSDT,12010007.18438000,296,1
USUALUSDT,12004104.57233000,297,1
TURBOUSDT,11853866.07566000,298,1
ARKMUSDT,11697131.32903000,299,1
CBRSBUSDT,11536522.33678000,300,1
BANANAUSDT,11453545.60398100,301,1
NEOUSDT,11437752.62085000,302,1
KAVAUSDT,11401669.38755500,303,1
NXPCUSDT,11396617.41960000,304,1
HUMAUSDT,11380758.55864000,305,1
AGLDUSDT,11234863.75438000,306,1
DOGSUSDT,11190193.95947909,307,1
RAYUSDT,11189524.30091000,308,1
SUNUSDT,10778082.60604000,309,1
IMXUSDT,10610550.53619500,310,1
SUSHIUSDT,10534028.00704000,311,1
THETAUSDT,10507344.11957000,312,1
EGLDUSDT,10494336.47090000,313,1
TURTLEUSDT,10430089.99831000,314,1
STRAXUSDT,10395499.51664000,315,1
REQUSDT,10326816.76240000,316,1
OGUSDT,10253127.47320000,317,1
MBLUSDT,10232400.05188900,318,1
NEWTUSDT,10228824.40809000,319,1
ENJUSDT,10165921.49115300,320,1
2ZUSDT,10131951.31058000,321,1
GMTUSDT,10111617.29072300,322,1
PIVXUSDT,10051030.69700000,323,1
LAZIOUSDT,9951635.20423000,324,1
DCRUSDT,9947825.33087000,325,1
TSMBUSDT,9881019.19155000,326,1
IBMBUSDT,9831586.94722000,327,1
JUVUSDT,9661156.39695000,328,1
SCRTUSDT,9623568.28205000,329,1
VELODROMEUSDT,9551186.48352000,330,1
PROVEUSDT,9447095.46987000,331,1
ALTUSDT,9353310.55836000,332,1
XTZUSDT,9316413.30693000,333,1
MANTAUSDT,9256071.41947500,334,1
CELRUSDT,9232835.04030550,335,1
WCTUSDT,9194844.56155200,336,1
CITYUSDT,9140555.22140000,337,1
AUSDT,9041942.02868000,338,1
MSFTBUSDT,9036056.70297000,339,1
GLWBUSDT,8972646.16672000,340,1
NOTUSDT,8930599.65990800,341,1
ACMUSDT,8857494.57580000,342,1
CGPTUSDT,8841043.76204200,343,1
ORCAUSDT,8752079.74979000,344,1
CELOUSDT,8626132.72049400,345,1
PSGUSDT,8589460.89891000,346,1
SIGNUSDT,8493236.89665000,347,1
KSMUSDT,8491274.63405000,348,1
MVLLBUSDT,8454387.45190000,349,1
QTUMUSDT,8391159.71040000,350,1
CETUSUSDT,8346459.83385300,351,1
HAEDALUSDT,8275415.30305300,352,1
BEAMXUSDT,8260910.75639000,353,1
AIUSDT,8246496.54844000,354,1
COMPUSDT,8183658.98720000,355,1
MINAUSDT,8176219.85457000,356,1
HOTUSDT,8037454.13608300,357,1
XNOUSDT,8019490.46516000,358,1
JOEUSDT,7931292.96219400,359,1
SOMIUSDT,7930681.75959000,360,1
LAYERUSDT,7779301.58311700,361,1
XVGUSDT,7753770.28347300,362,1
YFIUSDT,7745079.31453000,363,1
ORCLBUSDT,7724048.81265000,364,1
BNSOLUSDT,7691344.50220000,365,1
RLCUSDT,7689231.70939000,366,1
WAXPUSDT,7663367.67857000,367,1
MANAUSDT,7647907.09290000,368,1
SUPERUSDT,7624691.12930000,369,1
METABUSDT,7597244.12184000,370,1
DUSKUSDT,7584371.37490000,371,1
QCOMBUSDT,7517713.76564000,372,1
FOGOUSDT,7439885.41260000,373,1
LSKUSDT,7381062.77334000,374,1
INTWBUSDT,7301734.56060000,375,1
RONINUSDT,7250202.75264300,376,1
UMAUSDT,7196035.46590000,377,1
ANKRUSDT,7185787.08230200,378,1
LQTYUSDT,7096678.38963000,379,1
RVNUSDT,7076399.42400200,380,1
WINUSDT,7053438.99374976,381,1
BATUSDT,6982156.93640000,382,1
SSVUSDT,6945838.90664700,383,1
GNOUSDT,6886926.61065000,384,1
WALUSDT,6884481.02903000,385,1
SANTOSUSDT,6818877.73663000,386,1
BREVUSDT,6807471.73098000,387,1
PLTRBUSDT,6806378.83136000,388,1
AUCTIONUSDT,6761090.28913000,389,1
HOODBUSDT,6736997.11661000,390,1
FRAXUSDT,6703372.22038000,391,1
GTCUSDT,6606255.54010600,392,1
SOPHUSDT,6561673.76884000,393,1
AVAUSDT,6511899.74936000,394,1
BABABUSDT,6390385.99398000,395,1
CHRUSDT,6372290.42673000,396,1
MAGICUSDT,6364396.21195000,397,1
REDUSDT,6300629.11683000,398,1
RKLBBUSDT,6299442.42500000,399,1
TQQQBUSDT,6182845.93090000,400,1
BIGTIMEUSDT,6165522.17891000,401,1
OSMOUSDT,6157875.81224700,402,1
GMXUSDT,6099059.31385000,403,1
AWEUSDT,6056537.00798000,404,1
INITUSDT,6054079.37480000,405,1
SLPUSDT,5969902.58543600,406,1
CRWVBUSDT,5872527.26120000,407,1
GASUSDT,5815817.47750000,408,1
FUSDT,5774561.56153000,409,1
ARPAUSDT,5730650.24555200,410,1
NOKBUSDT,5695079.48960000,411,1
QNTBUSDT,5610343.92780000,412,1
ONTUSDT,5605904.55633000,413,1
FTTUSDT,5295825.82848100,414,1
ARMBUSDT,5241207.17416000,415,1
RPLUSDT,5180132.89040000,416,1
ASRUSDT,5162502.27260000,417,1
CYBERUSDT,5161137.12872000,418,1
NMRUSDT,5081773.17020000,419,1
AXLUSDT,5079026.00415600,420,1
CKBUSDT,5057233.63486200,421,1
BTTCUSDT,4954006.86846923,422,1
IOSTUSDT,4910895.36849400,423,1
BEBUSDT,4804231.98515000,424,1
POWRUSDT,4750188.09420000,425,1
DOLOUSDT,4724792.44956900,426,1
ONGUSDT,4520127.19495000,427,1
COHRBUSDT,4507086.26345000,428,1
MASKUSDT,4373281.33830000,429,1
XVSUSDT,4301081.76160000,430,1
TKOUSDT,4276610.97055000,431,1
STEEMUSDT,4200914.69619300,432,1
FLUXUSDT,4157460.47339500,433,1
ILVUSDT,4154830.93009000,434,1
HIVEUSDT,4135316.04580000,435,1
PUNDIXUSDT,4130517.53158000,436,1
SMCIBUSDT,4085378.64910000,437,1
FLNCBUSDT,4004642.16600000,438,1
ANIMEUSDT,3956201.18765900,439,1
POLYXUSDT,3932690.99523000,440,1
METISUSDT,3895731.29905000,441,1
WOOUSDT,3869916.41206300,442,1
COWUSDT,3853940.23715000,443,1
CVCUSDT,3638716.49115000,444,1
SFPUSDT,3508774.80350000,445,1
KNCUSDT,3365661.63266000,446,1
BANDUSDT,3345183.03228000,447,1
AVGOBUSDT,3291984.75027000,448,1
ASTRUSDT,3171991.08302360,449,1
GMEBUSDT,3116030.92940000,450,1
ICXUSDT,3058133.21041000,451,1
VTHOUSDT,3005902.96552700,452,1
BNTUSDT,2957029.76014000,453,1
GLMUSDT,2807020.05468000,454,1
SCUSDT,2612036.21847900,455,1
CTKUSDT,2556538.75297000,456,1
QKCUSDT,2488695.27877700,457,1
ZRXUSDT,2460610.07230000,458,1
QUICKUSDT,2438934.84549000,459,1
TFUELUSDT,2321202.47292000,460,1
ARKUSDT,2163353.48550000,461,1
GNSUSDT,2031446.28190000,462,1
AMZNBUSDT,1755631.98166000,463,1
IRENBUSDT,1653010.99460000,464,1
MTLUSDT,1609549.39130000,465,1
DELLBUSDT,1409259.59833000,466,1
ASTSBUSDT,1208036.39380000,467,1
AMATBUSDT,1145943.27102000,468,1
USARBUSDT,1087610.53120000,469,1
IQUSDT,986923.41238600,470,1
SMHBUSDT,880165.44709000,471,1
ALABBUSDT,744544.45472000,472,1
BMNRBUSDT,572318.37530000,473,1
NFLXBUSDT,495413.46550000,474,1
PYPLBUSDT,334311.32160000,475,1
CRDOBUSDT,332974.82189000,476,1
ASMLBUSDT,283981.68720800,477,1
GSBUSDT,207429.42435000,478,1
