symbol,vol30d,rank,included
BTCUSDT,26432082519.62251282,1,0
ETHUSDT,12464442084.61132812,2,0
SOLUSDT,3222731645.48472023,3,0
XRPUSDT,2122158617.70330000,4,0
BNBUSDT,1768923506.06227040,5,0
ZECUSDT,1379538973.44520974,6,0
SNDKBUSDT,1303895008.84336090,7,0
RLUSDUSDT,1298382990.96900034,8,0
BANKUSDT,953856510.60394979,9,0
DOGEUSDT,905028818.49040020,10,0
AEROUSDT,875548479.90114009,11,0
SPCXBUSDT,827824284.53336990,12,0
TUTUSDT,800365614.51425982,13,0
DEXEUSDT,790495333.30362999,14,0
TRXUSDT,728704754.62972999,15,0
ALLOUSDT,667357867.30335999,16,0
REUSDT,662906375.05364013,17,0
XAUTUSDT,620218372.85634303,18,0
XPLUSDT,618230019.32749104,19,0
ADAUSDT,584580200.77604997,20,0
MMTUSDT,559894316.91550004,21,0
UUSDT,556626680.38660014,22,0
ACEUSDT,495861759.15850997,23,0
EULUSDT,460613817.70901000,24,0
UNIUSDT,454385770.23877001,25,0
SKHYBUSDT,438463100.30553001,26,0
LINKUSDT,436464710.13868988,27,0
NEARUSDT,436441893.03660011,28,0
SUIUSDT,431175516.95128006,29,0
ERAUSDT,406214769.53201997,30,0
BABYUSDT,404846300.62480003,31,0
PEPEUSDT,404658999.77036279,32,0
PLUMEUSDT,402429563.40952003,33,0
WLDUSDT,393551038.94114000,34,0
MIRAUSDT,390041338.27593589,35,0
PUMPUSDT,386200537.96124208,36,0
MUBUSDT,371316551.83113003,37,0
AVAXUSDT,341259243.34169990,38,0
ENAUSDT,317914447.84194493,39,0
SOXLBUSDT,316299207.58714002,40,0
HEIUSDT,316005842.31898004,41,0
AAVEUSDT,314531928.79622000,42,0
KITEUSDT,307951269.43050003,43,0
BICOUSDT,306233233.02823973,44,0
VANAUSDT,295110063.68485993,45,0
TAOUSDT,288509129.43153995,46,0
LTCUSDT,283718667.32589000,47,0
ONDOUSDT,280247958.50737995,48,0
ZAMAUSDT,274566661.54885000,49,0
KAITOUSDT,268969651.49058992,50,0
GIGGLEUSDT,242972863.48140994,51,1
HOMEUSDT,235931602.53130999,52,1
CRCLBUSDT,230027601.77009997,53,1
XLMUSDT,229286011.83140004,54,1
KORUBUSDT,227733719.10770002,55,1
SNXXBUSDT,206495531.32709995,56,1
COTIUSDT,204891322.15873998,57,1
FETUSDT,192769267.43295997,58,1
EPICUSDT,192678372.83370003,59,1
SHIBUSDT,188897948.71155319,60,1
TRUMPUSDT,172967771.22611898,61,1
GRAMUSDT,166309654.68462005,62,1
FILUSDT,156517477.45755902,63,1
BMTUSDT,155477936.79632506,64,1
OPNUSDT,153437991.14927006,65,1
WLFIUSDT,151970144.89373001,66,1
BCHUSDT,150424344.84269997,67,1
HEMIUSDT,140985748.72124299,68,1
RIFUSDT,133889145.19549997,69,1
PENGUUSDT,133224883.92274603,70,1
SYNUSDT,131090277.24656199,71,1
ESPUSDT,130381576.31728001,72,1
TSTUSDT,124641620.52845798,73,1
INJUSDT,121065578.43788001,74,1
HBARUSDT,115636048.65676001,75,1
PROMUSDT,110171692.45947999,76,1
MUBARAKUSDT,108889855.99844401,77,1
QQQBUSDT,106626378.42042002,78,1
DOTUSDT,106215475.64123002,79,1
ARBUSDT,102932997.18680997,80,1
ZBTUSDT,101978024.57764998,81,1
DODOUSDT,100787766.56886798,82,1
NILUSDT,100128921.35233203,83,1
ICPUSDT,100003409.43627998,84,1
GPSUSDT,96528360.57307400,85,1
LAUSDT,94405514.88311000,86,1
ASTERUSDT,92332621.91991000,87,1
币安人生USDT,92169255.37544999,88,1
EDENUSDT,91681019.01889101,89,1
BOMEUSDT,91418754.29925849,90,1
ETHFIUSDT,91150662.09324999,91,1
EWYBUSDT,90566805.42668001,92,1
APTUSDT,83471564.13110000,93,1
DASHUSDT,82192082.72109000,94,1
PORTALUSDT,81749835.34359100,95,1
CRVUSDT,81526414.20274001,96,1
VIRTUALUSDT,81176142.03311001,97,1
ROBOUSDT,80845380.73369002,98,1
LDOUSDT,79702851.24862000,99,1
POLUSDT,77375770.68760000,100,1
ORDIUSDT,74068773.73614001,101,1
HOLOUSDT,72254392.37265000,102,1
DRAMBUSDT,68367527.48410000,103,1
JSTUSDT,68351983.13368200,104,1
CHIPUSDT,67667729.87604000,105,1
WBTCUSDT,67407369.39190990,106,1
MSTRBUSDT,67211150.57220000,107,1
BONKUSDT,64073824.73013626,108,1
NBISBUSDT,63792800.15508999,109,1
ZROUSDT,61710649.98206000,110,1
BFUSDUSDT,59735403.77790000,111,1
RENDERUSDT,58322780.23884000,112,1
TLMUSDT,54831809.39986400,113,1
OPUSDT,54753644.67917998,114,1
ALICEUSDT,54613852.47394101,115,1
TSLABUSDT,51959483.57928000,116,1
DIAUSDT,51886538.77052999,117,1
