date,symbol,file,status,bytes
2026-07-24,ASRUSDT,ASRUSDT-1m-2026-07-24.zip,ok,15709
2026-07-24,ASRUSDT,ASRUSDT-aggTrades-2026-07-24.zip,ok,13458
2026-07-24,ASTERUSDT,ASTERUSDT-1m-2026-07-24.zip,ok,31555
2026-07-24,ASTERUSDT,ASTERUSDT-aggTrades-2026-07-24.zip,ok,99801
2026-07-24,ASTRUSDT,ASTRUSDT-1m-2026-07-24.zip,ok,20785
2026-07-24,ASTRUSDT,ASTRUSDT-aggTrades-2026-07-24.zip,ok,29743
2026-07-24,ATMUSDT,ATMUSDT-1m-2026-07-24.zip,ok,35109
2026-07-24,ATMUSDT,ATMUSDT-aggTrades-2026-07-24.zip,ok,96742
2026-07-24,ATOMUSDT,ATOMUSDT-1m-2026-07-24.zip,ok,35612
2026-07-24,ATOMUSDT,ATOMUSDT-aggTrades-2026-07-24.zip,ok,123531
2026-07-24,ATUSDT,ATUSDT-1m-2026-07-24.zip,ok,21553
2026-07-24,ATUSDT,ATUSDT-aggTrades-2026-07-24.zip,ok,37666
2026-07-24,AUCTIONUSDT,AUCTIONUSDT-1m-2026-07-24.zip,ok,30235
2026-07-24,AUCTIONUSDT,AUCTIONUSDT-aggTrades-2026-07-24.zip,ok,103223
2026-07-24,AUDIOUSDT,AUDIOUSDT-1m-2026-07-24.zip,ok,29578
2026-07-24,AUDIOUSDT,AUDIOUSDT-aggTrades-2026-07-24.zip,ok,48118
2026-07-24,AUSDT,AUSDT-1m-2026-07-24.zip,ok,38745
2026-07-24,AUSDT,AUSDT-aggTrades-2026-07-24.zip,ok,226649
2026-07-24,AVAUSDT,AVAUSDT-1m-2026-07-24.zip,ok,24148
2026-07-24,AVAUSDT,AVAUSDT-aggTrades-2026-07-24.zip,ok,45430
2026-07-24,AVGOBUSDT,AVGOBUSDT-1m-2026-07-24.zip,ok,17967
2026-07-24,AVGOBUSDT,AVGOBUSDT-aggTrades-2026-07-24.zip,ok,31067
2026-07-24,AVNTUSDT,AVNTUSDT-1m-2026-07-24.zip,ok,21435
2026-07-24,AVNTUSDT,AVNTUSDT-aggTrades-2026-07-24.zip,ok,33472
2026-07-24,AWEUSDT,AWEUSDT-1m-2026-07-24.zip,ok,17440
2026-07-24,AWEUSDT,AWEUSDT-aggTrades-2026-07-24.zip,ok,26909
2026-07-24,AXLUSDT,AXLUSDT-1m-2026-07-24.zip,ok,16754
2026-07-24,AXLUSDT,AXLUSDT-aggTrades-2026-07-24.zip,ok,15023
2026-07-24,AXSUSDT,AXSUSDT-1m-2026-07-24.zip,ok,37897
2026-07-24,AXSUSDT,AXSUSDT-aggTrades-2026-07-24.zip,ok,148007
2026-07-24,AXTIBUSDT,AXTIBUSDT-1m-2026-07-24.zip,ok,18459
2026-07-24,AXTIBUSDT,AXTIBUSDT-aggTrades-2026-07-24.zip,ok,25663
2026-07-24,BABABUSDT,BABABUSDT-1m-2026-07-24.zip,ok,20231
2026-07-24,BABABUSDT,BABABUSDT-aggTrades-2026-07-24.zip,ok,32089
2026-07-24,BABYUSDT,BABYUSDT-1m-2026-07-24.zip,ok,39722
2026-07-24,BABYUSDT,BABYUSDT-aggTrades-2026-07-24.zip,ok,154767
2026-07-24,BANANAS31USDT,BANANAS31USDT-1m-2026-07-24.zip,ok,35536
2026-07-24,BANANAS31USDT,BANANAS31USDT-aggTrades-2026-07-24.zip,ok,136600
2026-07-24,BANANAUSDT,BANANAUSDT-1m-2026-07-24.zip,ok,34736
2026-07-24,BANANAUSDT,BANANAUSDT-aggTrades-2026-07-24.zip,ok,130819
2026-07-24,BANDUSDT,BANDUSDT-1m-2026-07-24.zip,ok,17204
2026-07-24,BANDUSDT,BANDUSDT-aggTrades-2026-07-24.zip,ok,21201
2026-07-24,BARDUSDT,BARDUSDT-1m-2026-07-24.zip,ok,40847
2026-07-24,BARDUSDT,BARDUSDT-aggTrades-2026-07-24.zip,ok,370530
2026-07-24,BARUSDT,BARUSDT-1m-2026-07-24.zip,ok,24077
2026-07-24,BARUSDT,BARUSDT-aggTrades-2026-07-24.zip,ok,30338
2026-07-24,BATUSDT,BATUSDT-1m-2026-07-24.zip,ok,16046
2026-07-24,BATUSDT,BATUSDT-aggTrades-2026-07-24.zip,ok,15768
2026-07-24,BBUSDT,BBUSDT-1m-2026-07-24.zip,ok,26359
2026-07-24,BBUSDT,BBUSDT-aggTrades-2026-07-24.zip,ok,53549
2026-07-24,BEAMXUSDT,BEAMXUSDT-1m-2026-07-24.zip,ok,44598
2026-07-24,BEAMXUSDT,BEAMXUSDT-aggTrades-2026-07-24.zip,ok,406851
2026-07-24,BELUSDT,BELUSDT-1m-2026-07-24.zip,ok,25075
2026-07-24,BELUSDT,BELUSDT-aggTrades-2026-07-24.zip,ok,52284
2026-07-24,BERAUSDT,BERAUSDT-1m-2026-07-24.zip,ok,46325
2026-07-24,BERAUSDT,BERAUSDT-aggTrades-2026-07-24.zip,ok,279095
2026-07-24,BFUSDUSDT,BFUSDUSDT-1m-2026-07-24.zip,ok,13551
2026-07-24,BFUSDUSDT,BFUSDUSDT-aggTrades-2026-07-24.zip,ok,17121
2026-07-24,BICOUSDT,BICOUSDT-1m-2026-07-24.zip,ok,26477
2026-07-24,BICOUSDT,BICOUSDT-aggTrades-2026-07-24.zip,ok,48495
2026-07-24,BIGTIMEUSDT,BIGTIMEUSDT-1m-2026-07-24.zip,ok,15579
2026-07-24,BIGTIMEUSDT,BIGTIMEUSDT-aggTrades-2026-07-24.zip,ok,11234
2026-07-24,BIOUSDT,BIOUSDT-1m-2026-07-24.zip,ok,45843
2026-07-24,BIOUSDT,BIOUSDT-aggTrades-2026-07-24.zip,ok,344704
2026-07-24,BLURUSDT,BLURUSDT-1m-2026-07-24.zip,ok,28377
2026-07-24,BLURUSDT,BLURUSDT-aggTrades-2026-07-24.zip,ok,61840
2026-07-24,BMTUSDT,BMTUSDT-1m-2026-07-24.zip,ok,30913
2026-07-24,BMTUSDT,BMTUSDT-aggTrades-2026-07-24.zip,ok,89240
2026-07-24,BNSOLUSDT,BNSOLUSDT-1m-2026-07-24.zip,ok,28083
